bbref_id,season,Name,Age,Level,Team,G,PA,AB,R,H,X1B,X2B,X3B,HR,RBI,BB,IBB,uBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
felicma01,2022,Mario Feliciano,23,Maj-NL,Milwaukee,2,5,4,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0.25,0.4,0.25,0.65
lestejo02,2022,Josh Lester,27,Maj-AL,Detroit,2,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
liberlu01,2022,Luis Liberato,26,Maj-NL,San Diego,7,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
trompch01,2022,Chadwick Tromp,27,Maj-NL,Atlanta,1,4,4,0,3,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0.75,0.75,1.25,2
okeefbr01,2022,Brian O'Keefe,28,Maj-AL,Seattle,2,4,3,0,1,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0.333,0.5,0.333,0.833
pegueli01,2022,Liover Peguero,21,Maj-NL,Pittsburgh,1,4,3,0,1,1,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0.333,0.5,0.333,0.833
alforan01,2022,Anthony Alford,27,Maj-NL,Pittsburgh,2,4,4,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0.25,0.25,0.25,0.5
riddljt01,2022,JT Riddle,30,Maj-NL,Cincinnati,2,4,4,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0.25,0.25,0.5
sandsdo01,2022,Donny Sands,26,Maj-NL,Philadelphia,3,4,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0.25,0,0.25
hicklbr01,2022,Brewer Hicklen,26,Maj-AL,Kansas City,6,4,4,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
wolteto01,2022,Tony Wolters,30,Maj-NL,Los Angeles,2,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
brantro01,2022,Rob Brantly,32,Maj-AL,New York,1,3,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1
